Date,AAPL,BAC,DIS,FB,INTC,JNJ,JPM,MSFT,TSLA,V,high_1,high_2,high_3,low_3,low_2,low_1,Total_by_highest,high_3_unit,high_2_unit,high_1_unit,Total_by_lowest,low_3_unit,low_2_unit,low_1_unit
2015-02-13,117.22412046984823,15.359806836396,97.66951988682416,75.74,30.101286243528243,86.8404990648305,52.64034543256424,39.38464311677539,203.77,65.23101627286664,TSLA,AAPL,DIS,MSFT,INTC,BAC,102.53246974376933,0.3499299469700823,0.29155680398882355,0.1677258179054315,94.0897820414005,0.7963322299880902,1.0419242695055901,2.0419046290445313
2015-02-17,117.91595309773922,15.378301486409722,97.6226400174343,75.6,30.429807266267563,87.55530742894574,53.01968762354802,39.40272605668206,204.35,65.53100685321138,TSLA,AAPL,DIS,MSFT,INTC,BAC,102.815054557828,0.35106287687455284,0.2906450225967466,0.16771071618600114,94.48424040737159,0.7993037526680518,1.0349965915613983,2.04799904789811
2015-02-18,118.73231559865059,15.073139761183313,97.37886469660705,76.71,30.018060917767613,87.13688302068314,52.375688090017405,39.357518706915336,204.46,65.1076330503055,TSLA,AAPL,DIS,MSFT,INTC,BAC,102.98519396869236,0.35252411389799465,0.2891243029876044,0.1678978675025145,93.39697901305095,0.7910134419173516,1.0371198333885887,2.0654174797646547
2015-02-19,118.48786807012908,14.989913836121564,97.40699261824098,79.42,29.969877834432513,87.7819539834213,52.252181330162216,39.3303942970553,211.705,65.102794492558,TSLA,AAPL,DIS,MSFT,INTC,BAC,104.14085406809704,0.35637706379817286,0.2929719184596449,0.16397164933609984,93.15365532849482,0.7894967492140408,1.036080914789607,2.071474111345905
2015-02-20,119.4518215316572,15.1471183612382,98.02580689418706,79.895,30.145089046560148,88.01018706377819,52.7550302810012,39.651366480399076,217.11,66.04631325331971,TSLA,AAPL,DIS,MSFT,INTC,BAC,105.53006334238644,0.3588512953406912,0.2944843145106241,0.1620224208041798,93.914239920741,0.7894998185175264,1.0384692044497106,2.0667130138994962
2015-02-23,122.68498601266774,14.980666511114702,98.43834974481778,78.84,29.575652607145326,87.93996150059145,52.35804426718096,39.91808984402279,207.335,66.04873253219345,TSLA,AAPL,DIS,MSFT,INTC,BAC,105.04645194124845,0.35570978253076124,0.2854096912624716,0.1688836133813208,93.18946755685464,0.7781724018774957,1.050294857898763,2.07354965343084
2015-02-24,121.91935790446836,15.1471183612382,98.13831858072271,78.45,30.145089046560148,88.39642766130524,53.65486524566042,39.863841024302715,204.11,65.91809147301107,TSLA,AAPL,DIS,MSFT,INTC,BAC,104.17656058597794,0.3538426243441581,0.2848236801126828,0.17013140069240104,94.09047496286811,0.7867654207021555,1.0404179468784238,2.0705913102619715
2015-02-25,118.80149886143967,15.24883893631367,98.9821562297401,79.56,29.737722978363394,88.84411562662068,53.9371664110437,39.773426324769254,203.76,66.04873253219345,TSLA,AAPL,DIS,MSFT,INTC,BAC,103.52756023727628,0.34864048289332134,0.29047770504989545,0.16936192945503908,93.80613057427692,0.7861708955145454,1.0514830007050695,2.0505633459713555
2015-02-26,120.30046955520346,14.832709311004928,98.03518286806504,80.41,29.479286440475125,90.23984869495709,54.325330513445714,39.832195879466,207.19,66.2277591688508,TSLA,AAPL,DIS,MSFT,INTC,BAC,104.21373597226713,0.3543412780440846,0.2887595710905782,0.1676621071999407,92.72729170454036,0.775982758479575,1.048502218575024,2.0838470293430613
2015-02-27,118.49709250516764,14.620020835847127,97.58513612192242,78.97,29.12886401621985,89.98528102840517,54.06067317089889,39.64684574542241,203.34,65.6374551236563,TSLA,AAPL,DIS,MSFT,INTC,BAC,102.88802433685667,0.3514470489587296,0.2894248912545252,0.16866336240919425,91.77283425983748,0.7715858393807069,1.0501935377996607,2.0924008998860386
